class,cbo,wmc,rfc,lcom,loc
org.springframework.context.expression.AnnotatedElementKeyTests,5,6,11,0,29
org.springframework.beans.factory.support.NullBean,2,6,1,6,13
org.springframework.jmx.export.DateRange,0,4,0,2,16
org.springframework.transaction.interceptor.ReactiveTransactionInterceptorTests,5,2,9,1,20
org.springframework.cache.interceptor.CacheableOperation,4,3,0,0,38
org.springframework.web.method.HandlerTypePredicate,3,17,18,24,81
org.springframework.scheduling.support.DelegatingErrorHandlingRunnable,1,5,4,0,24
org.springframework.web.servlet.mvc.annotation.CglibProxyControllerTests,9,4,6,0,58
org.springframework.r2dbc.core.binding.MutableBindings,7,7,6,15,38
org.springframework.web.server.i18n.FixedLocaleContextResolverTests,9,5,12,10,25
org.springframework.beans.PropertyDescriptorUtils,1,28,33,6,95
org.springframework.cache.jcache.interceptor.CachePutInterceptor,11,8,14,3,33
org.springframework.aop.aspectj.autoproxy.AspectJAutoProxyCreatorTests,24,22,42,210,174
org.springframework.jms.annotation.AnnotationDrivenNamespaceTests,7,9,11,36,51
org.springframework.objenesis.SpringObjenesis,9,20,8,15,63
org.springframework.web.reactive.resource.CachingResourceResolverTests,16,11,18,0,85
org.springframework.orm.hibernate5.HibernateTemplate,22,154,102,3687,670
org.springframework.aot.hint.JdkProxyHintTests,4,5,7,10,26
org.springframework.messaging.simp.stomp.BufferingStompDecoder,9,18,17,0,69
org.springframework.cache.jcache.interceptor.DefaultJCacheOperationSource,14,26,17,82,98
org.springframework.oxm.jaxb.Airplane,1,2,0,0,9
org.springframework.core.type.classreading.ClassMetadataReadingVisitorMemberClassTests,4,2,3,0,11
org.springframework.context.config.PropertyPlaceholderBeanDefinitionParser,6,8,7,0,27
org.springframework.jms.support.converter.MessagingMessageConverterTests,10,3,16,0,31
org.springframework.web.servlet.mvc.method.annotation.JsonViewResponseBodyAdvice,8,4,6,1,14
org.springframework.web.reactive.function.client.support.ClientResponseWrapper,16,21,20,0,85
org.springframework.core.env.CompositePropertySourceTests,4,3,8,0,17
org.springframework.transaction.aspectj.AspectJJtaTransactionManagementConfiguration,5,2,2,0,9
org.springframework.orm.jpa.ContainerManagedEntityManagerIntegrationTests,13,12,35,66,77
org.springframework.test.context.junit4.profile.importresource.DefaultProfileAnnotationConfigTests,8,2,6,1,11
org.springframework.web.reactive.socket.server.upgrade.JettyRequestUpgradeStrategy,16,3,16,0,30
org.springframework.beans.factory.DefaultListableBeanFactoryTests,81,219,177,0,2295
org.springframework.aop.aspectj.NoMethodsBeanImpl,1,0,0,0,2
org.springframework.asm.ModuleVisitor,1,25,8,0,54
org.springframework.instrument.classloading.ShadowingClassLoader,4,23,27,18,90
org.springframework.web.reactive.function.client.WebClientResponseException,23,36,7,7,177
org.springframework.web.server.handler.FilteringWebHandlerTests,17,5,23,10,99
org.springframework.web.servlet.config.annotation.ContentNegotiationConfigurerTests,8,8,19,0,61
org.springframework.context.annotation.FullyQualifiedAnnotationBeanNameGenerator,3,2,2,0,8
org.springframework.web.servlet.tags.form.ItemPet,1,9,4,0,35
org.springframework.web.util.WebUtils,18,89,73,319,308
org.springframework.web.socket.messaging.StompSubProtocolHandler,40,107,113,369,453
org.springframework.test.context.hierarchies.meta.MetaHierarchyLevelTwoTests,6,2,6,1,17
org.springframework.context.annotation.spr16756.ScanningConfiguration,1,0,0,0,2
org.springframework.beans.factory.parsing.PassThroughSourceExtractorTests,2,2,5,1,11
org.springframework.test.context.junit4.spr9051.AtBeanLiteModeScopeTests,9,2,7,0,33
org.springframework.test.context.groovy.DefaultScriptDetectionXmlSupersedesGroovySpringContextTests,3,1,3,0,6
org.springframework.aop.config.AopNamespaceHandlerEventTests,15,14,21,0,114
org.springframework.context.annotation.ScopedProxyCreator,2,3,2,3,10
org.springframework.test.context.env.repeatable.LocalInlinedPropertyAndInheritedInlinedPropertyTests,4,1,1,0,6
org.springframework.test.context.junit4.SpringJUnit4ClassRunnerTests,6,5,7,10,33
org.springframework.context.support.AbstractXmlApplicationContext,9,9,10,19,35
org.springframework.messaging.tcp.reactor.ReactorNettyTcpConnection,11,5,10,0,27
org.springframework.test.context.transaction.manager.LookUpTxMgrViaTransactionManagementConfigurerWithPrimaryTxMgrTests,8,2,2,0,32
org.springframework.util.xml.StaxStreamXMLReader,7,65,63,0,220
org.springframework.jdbc.datasource.lookup.MapDataSourceLookupTests,4,6,14,0,51
org.springframework.jms.support.destination.JndiDestinationResolver,11,14,12,9,58
org.springframework.jms.TransactionInProgressException,2,1,0,0,5
org.springframework.aot.generator.ProtectedElement,2,4,0,0,17
org.springframework.web.servlet.mvc.method.annotation.SseEmitter,9,10,13,28,103
org.springframework.web.reactive.function.server.RouterFunctionTests,14,6,35,15,63
org.springframework.aop.support.ComposablePointcutTests,10,6,15,4,92
org.springframework.web.servlet.function.RouterFunctionsTests,8,5,23,0,55
org.springframework.util.comparator.BooleanComparator,2,11,2,0,20
org.springframework.web.method.HandlerTypePredicateTests,6,2,7,1,22
org.springframework.beans.factory.config.ObjectFactoryCreatingFactoryBeanTests,12,15,23,13,88
org.springframework.http.client.AbstractClientHttpRequest,5,8,5,0,32
org.springframework.web.servlet.handler.SimpleUrlHandlerMapping,3,18,23,0,66
org.springframework.core.annotation.AttributeMethods,4,50,29,55,146
org.springframework.beans.propertyeditors.PropertiesEditor,2,6,5,1,24
org.springframework.web.reactive.result.method.annotation.JacksonHintsIntegrationTests,7,10,9,45,119
org.springframework.messaging.simp.stomp.StompConversionException,1,2,0,1,8
org.springframework.http.codec.support.ClientCodecConfigurerTests,43,19,60,20,180
org.springframework.test.context.hierarchies.web.RootWacEarTests,9,2,5,1,20
org.springframework.core.convert.support.AbstractConditionalEnumConverter,3,4,4,0,14
org.springframework.web.servlet.view.AbstractUrlBasedView,4,10,3,22,28
org.springframework.web.servlet.function.DefaultServerResponseBuilderTests,15,29,65,400,192
org.springframework.test.context.hierarchies.meta.MetaHierarchyLevelOneTests,5,1,2,0,6
org.springframework.aop.aspectj.generic.DerivedStringParameterizedClass,1,2,0,1,6
org.springframework.jms.connection.JmsTransactionManager,19,38,32,149,221
org.springframework.web.reactive.result.view.UrlBasedViewResolver,12,34,32,164,111
org.springframework.scheduling.concurrent.ForkJoinPoolFactoryBean,4,15,7,37,52
org.springframework.beans.support.PropertyComparator,8,19,15,0,58
org.springframework.jdbc.core.simple.SimpleJdbcCall,8,23,16,210,81
org.springframework.scheduling.concurrent.DefaultManagedAwareThreadFactory,8,10,11,0,39
org.springframework.web.filter.reactive.ServerWebExchangeContextFilterTests,7,1,13,0,21
org.springframework.scheduling.config.ContextLifecycleScheduledTaskRegistrar,2,2,1,1,7
org.springframework.asm.Handler,3,15,3,0,69
org.springframework.web.jsf.el.WebApplicationContextFacesELResolver,9,22,15,19,87
org.springframework.asm.Constants,0,1,0,0,103
org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate,11,12,15,1,63
org.springframework.scheduling.config.ScheduledTaskRegistrar,15,75,44,417,242
org.springframework.web.reactive.socket.server.upgrade.UndertowRequestUpgradeStrategy,13,3,15,0,41
org.springframework.aop.config.AdviceEntry,1,2,0,0,9
org.springframework.aop.config.AopConfigUtils,8,19,21,47,71
org.springframework.web.util.HttpSessionMutexListener,3,2,3,1,10
org.springframework.core.annotation.AnnotatedElementUtils,14,46,59,528,151
org.springframework.web.servlet.view.document.AbstractPdfStamperView,7,6,11,10,22
org.springframework.web.servlet.config.InterceptorsBeanDefinitionParser,13,7,23,1,45
org.springframework.web.server.adapter.WebHttpHandlerBuilder,16,42,30,80,165
org.springframework.instrument.classloading.SimpleThrowawayClassLoader,2,2,1,0,8
org.springframework.web.servlet.handler.PathMatchingUrlHandlerMappingTests,11,14,22,21,165
org.springframework.http.server.ServletServerHttpAsyncRequestControl,10,16,16,25,51
org.springframework.test.context.junit4.AbstractTransactionalJUnit4SpringContextTests,17,10,10,0,32
org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterTests,7,11,23,0,126
org.springframework.web.reactive.function.client.WebClientDataBufferAllocatingTests,20,15,51,55,96
org.springframework.aop.aspectj.autoproxy.benchmark.TraceAfterReturningAdvice,5,2,0,1,14
org.springframework.mock.web.MockSessionCookieConfig,2,14,0,77,51
org.springframework.format.support.FormattingConversionServiceTests,15,20,18,0,112
org.springframework.core.task.SimpleAsyncTaskExecutorTests,7,7,15,15,73
org.springframework.web.reactive.result.method.annotation.RequestParamMethodArgumentResolver,11,11,15,13,44
org.springframework.validation.beanvalidation.MethodValidationTests,22,5,23,10,91
org.springframework.core.serializer.DefaultSerializer,1,2,5,0,10
org.springframework.context.event.test.AbstractIdentifiable,2,7,5,0,22
org.springframework.test.context.junit4.rules.SpringMethodRule,13,8,12,21,37
org.springframework.scheduling.config.FixedDelayTask,1,1,0,0,5
org.springframework.http.server.reactive.UndertowHeadersAdapter,8,25,24,0,141
org.springframework.web.method.annotation.ModelAttributeMethodProcessorTests,21,19,41,0,204
org.springframework.web.socket.sockjs.client.WebSocketTransport,17,14,15,0,87
org.springframework.http.server.reactive.AsyncIntegrationTests,8,2,8,1,17
